.1.3.6.1.2.1.1.2.0 = OID: .1.3.6.1.4.1.1991.1.3.52.2.2.1.1
.1.3.6.1.4.1.1991.1.1.1.1.18.0 = INTEGER: 111
.1.3.6.1.4.1.1991.1.1.1.1.19.0 = INTEGER: 170
.1.3.6.1.4.1.1991.1.1.1.1.20.0 = INTEGER: 180
.1.3.6.1.4.1.1991.1.1.1.2.1.1.2.1 = Hex-STRING: 50 6F 77 65 72 20 73 75 70 70 6C 79 20 31 20 28 4E 41 20 2D 20 41 43 20 2D 20 52 65 67 75 6C 61 72 29 20 70 72 65 73 65 6E 74 2C 20 73 74 61 74 75 73 20 6F 6B 0A 
.1.3.6.1.4.1.1991.1.1.1.2.1.1.2.2 = Hex-STRING: 50 6F 77 65 72 20 73 75 70 70 6C 79 20 32 20 6E 6F 74 20 70 72 65 73 65 6E 74 0A 
.1.3.6.1.4.1.1991.1.1.1.2.1.1.3.1 = INTEGER: 2
.1.3.6.1.4.1.1991.1.1.1.2.1.1.3.2 = INTEGER: 3
.1.3.6.1.4.1.1991.1.1.1.3.1.1.3.1 = INTEGER: 2
.1.3.6.1.4.1.1991.1.1.1.3.1.1.3.2 = INTEGER: 2
.1.3.6.1.4.1.1991.1.1.1.3.2.1.4.1.1 = INTEGER: 2
.1.3.6.1.4.1.1991.1.1.1.3.2.1.4.1.2 = INTEGER: 2
.1.3.6.1.4.1.1991.1.1.1.4.1.1.4.1 = INTEGER: 111
.1.3.6.1.4.1.1991.1.1.1.4.1.1.5.1 = INTEGER: 170
.1.3.6.1.4.1.1991.1.1.2.1.54.0 = INTEGER: 229851136
.1.3.6.1.4.1.1991.1.1.2.1.55.0 = INTEGER: 214028288
.1.3.6.1.4.1.1991.1.1.2.11.1.1.4.1.1.1 = Gauge32: 1
.1.3.6.1.4.1.1991.1.1.2.11.1.1.4.1.1.5 = Gauge32: 1
.1.3.6.1.4.1.1991.1.1.2.11.1.1.4.1.1.60 = Gauge32: 17
.1.3.6.1.4.1.1991.1.1.2.11.1.1.4.1.1.300 = Gauge32: 1
.1.3.6.1.4.1.1991.1.1.2.13.1.1.4.1.1 = INTEGER: 104
.1.3.6.1.4.1.1991.1.1.2.13.1.1.4.1.2 = INTEGER: 111
